Sno,Monitor Name,Description,Custom_SQL
1,Primary Key Uniqueness: customer_id,"Ensures that each customer_id in tsb.customer_data_bank is unique, validating the integrity of the primary key constraint.",SELECT COUNT(*) FROM tsb.customer_data_bank GROUP BY customer_id HAVING COUNT(*) > 1
2,Primary Key Completeness: customer_id,"Checks that all records in tsb.customer_data_bank have a non-null customer_id, as required by the primary key constraint.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE customer_id IS NULL
3,Completeness: full_name,"Checks for missing values in the full_name column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE full_name IS NULL
4,Completeness: date_of_birth,"Checks for missing values in the date_of_birth column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE date_of_birth IS NULL
5,Completeness: gender,"Checks for missing values in the gender column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE gender IS NULL
6,Completeness: address,"Checks for missing values in the address column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE address IS NULL
7,Completeness: phone_number,"Checks for missing values in the phone_number column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE phone_number IS NULL
8,Completeness: email_address,"Checks for missing values in the email_address column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE email_address IS NULL
9,Completeness: national_id_or_passport_number,"Checks for missing values in the national_id_or_passport_number column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE national_id_or_passport_number IS NULL
10,Completeness: occupation,"Checks for missing values in the occupation column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE occupation IS NULL
11,Completeness: customer_type,"Checks for missing values in the customer_type column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE customer_type IS NULL
12,Completeness: account_numbers,"Checks for missing values in the account_numbers column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE account_numbers IS NULL
13,Completeness: age,"Checks for missing values in the age column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE age IS NULL
14,Completeness: created_by,"Checks for missing values in the created_by column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE created_by IS NULL
15,Completeness: created_on,"Checks for missing values in the created_on column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE created_on IS NULL
16,Completeness: modified_by,"Checks for missing values in the modified_by column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE modified_by IS NULL
17,Completeness: modified_on,"Checks for missing values in the modified_on column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE modified_on IS NULL
18,Completeness: status,"Checks for missing values in the status column, which may indicate incomplete customer records.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE status IS NULL
