Glossary,Category,Term,Type,Data Owners,Business Owners,Description,Classifications,Related Terms
Bank,,,Glossary,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Customer Glossary,,
Bank,Customer Data,,Category,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Customer Category,,
Bank,Customer Data,Full Name,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,"Customer legal full name like first, middle, last.",PII,
Bank,Customer Data,Date of Birth,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Customer birth date like Official Birth Date.,PII,
Bank,Customer Data,Gender,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Declared gender identity of the customer.,PII,
Bank,Customer Data,Address,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,The Address field captures the residential or correspondence location details of a customer., ,
Bank,Customer Data,Phone Number ,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Primary Phone number like Customer registered mobile or landline number.,PII,
Bank,Customer Data,Email Address,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Customer unique email ID.,PII,
Bank,Customer Data,National ID/Passport Number ,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,"Government issued identification number like Aadhar, SSN, Passport.",PII,
Bank,Customer Data,Occupation ,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Profession or employment type of the customer.,PII,
Bank,Customer Data,Customer Type ,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Classification of the customer., ,
Bank,Customer Data,Account Numbers ,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Primary account number.,PII,
Bank,Customer Data,Age ,Term ,samuvel.isaac@ascendion.com,mohamed.shahidomar@ascendion.com,Age of the customer based on the DOB information.,,
