Sno,Monitor Name,Description,Custom_SQL
1,Primary Key Uniqueness: customer_id,"Ensures that each customer_id in tsb.customer_data_bank is unique, validating the integrity of the primary key constraint.","SELECT customer_id, COUNT(*) FROM tsb.customer_data_bank GROUP BY customer_id HAVING COUNT(*) > 1"
2,Completeness: customer_id Not Null,"Checks that all records in tsb.customer_data_bank have a non-null customer_id, as required by the NOT NULL constraint for the primary key.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE customer_id IS NULL
3,Completeness: full_name Null Ratio,"Assesses the proportion of records where full_name is missing, helping to monitor completeness of customer identity data.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE full_name IS NULL"
4,Completeness: date_of_birth Null Ratio,"Assesses the proportion of records where date_of_birth is missing, critical for age and eligibility calculations.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE date_of_birth IS NULL"
5,Completeness: gender Null Ratio,"Assesses the proportion of records where gender is missing, important for demographic analysis.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE gender IS NULL"
6,Completeness: address Null Ratio,"Assesses the proportion of records where address is missing, important for contact and compliance purposes.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE address IS NULL"
7,Completeness: phone_number Null Ratio,"Assesses the proportion of records where phone_number is missing, important for customer communication.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE phone_number IS NULL"
8,Completeness: email_address Null Ratio,"Assesses the proportion of records where email_address is missing, important for digital communication and marketing.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE email_address IS NULL"
9,Completeness: national_id_or_passport_number Null Ratio,"Assesses the proportion of records where national_id_or_passport_number is missing, important for KYC and regulatory compliance.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE national_id_or_passport_number IS NULL"
10,Completeness: occupation Null Ratio,"Assesses the proportion of records where occupation is missing, useful for customer profiling.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE occupation IS NULL"
11,Completeness: customer_type Null Ratio,"Assesses the proportion of records where customer_type is missing, important for segmentation and product eligibility.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE customer_type IS NULL"
12,Completeness: account_numbers Null Ratio,"Assesses the proportion of records where account_numbers is missing, important for linking customers to accounts.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE account_numbers IS NULL"
13,Completeness: age Null Ratio,"Assesses the proportion of records where age is missing, important for eligibility and risk assessment.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE age IS NULL"
14,Completeness: created_by Null Ratio,"Assesses the proportion of records where created_by is missing, important for audit trail and data lineage.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE created_by IS NULL"
15,Completeness: created_on Null Ratio,"Assesses the proportion of records where created_on is missing, important for tracking record creation time.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE created_on IS NULL"
16,Completeness: modified_by Null Ratio,"Assesses the proportion of records where modified_by is missing, important for audit trail and data lineage.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE modified_by IS NULL"
17,Completeness: modified_on Null Ratio,"Assesses the proportion of records where modified_on is missing, important for tracking record modification time.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE modified_on IS NULL"
18,Completeness: status Null Ratio,"Assesses the proportion of records where status is missing, important for operational and reporting purposes.","SELECT COUNT(*) AS null_count, (SELECT COUNT(*) FROM tsb.customer_data_bank) AS total_count FROM tsb.customer_data_bank WHERE status IS NULL"
19,Uniqueness: email_address,"Checks for duplicate email_address values, which should be unique for each customer to avoid communication errors.","SELECT email_address, COUNT(*) FROM tsb.customer_data_bank WHERE email_address IS NOT NULL GROUP BY email_address HAVING COUNT(*) > 1"
20,Uniqueness: national_id_or_passport_number,"Checks for duplicate national_id_or_passport_number values, which should be unique for each customer for regulatory compliance.","SELECT national_id_or_passport_number, COUNT(*) FROM tsb.customer_data_bank WHERE national_id_or_passport_number IS NOT NULL GROUP BY national_id_or_passport_number HAVING COUNT(*) > 1"
21,Validity: age Range,"Checks for age values outside a reasonable range (e.g., less than 0 or greater than 120), ensuring data validity.","SELECT customer_id, age FROM tsb.customer_data_bank WHERE age < 0 OR age > 120"
22,Validity: date_of_birth in Future,"Checks for date_of_birth values that are in the future, which are likely data entry errors.","SELECT customer_id, date_of_birth FROM tsb.customer_data_bank WHERE date_of_birth > CURRENT_DATE"
23,Validity: gender Domain,"Checks that gender values are within expected domain (e.g., Male, Female, Other), ensuring data standardization.","SELECT customer_id, gender FROM tsb.customer_data_bank WHERE gender IS NOT NULL AND gender NOT IN ('Male','Female','Other')"
24,Validity: status Domain,"Checks that status values are within expected domain (e.g., Active, Inactive, Suspended), ensuring operational consistency.","SELECT customer_id, status FROM tsb.customer_data_bank WHERE status IS NOT NULL AND status NOT IN ('Active','Inactive','Suspended')"
25,Validity: email_address Format,"Checks for invalid email_address formats using a basic pattern, ensuring contactability.","SELECT customer_id, email_address FROM tsb.customer_data_bank WHERE email_address IS NOT NULL AND email_address !~* '^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$'"
26,Validity: phone_number Format,"Checks for invalid phone_number formats using a basic pattern, ensuring contactability.","SELECT customer_id, phone_number FROM tsb.customer_data_bank WHERE phone_number IS NOT NULL AND phone_number !~* '^[0-9+\-() ]{7,20}$'"
27,Consistency: created_on Before modified_on,"Checks for records where created_on is after modified_on, which is logically inconsistent.","SELECT customer_id, created_on, modified_on FROM tsb.customer_data_bank WHERE created_on IS NOT NULL AND modified_on IS NOT NULL AND created_on > modified_on"
28,Consistency: age vs date_of_birth,"Checks for records where age does not match the difference between current date and date_of_birth, flagging inconsistencies.","SELECT customer_id, age, date_of_birth FROM tsb.customer_data_bank WHERE age IS NOT NULL AND date_of_birth IS NOT NULL AND age <> EXTRACT(YEAR FROM AGE(CURRENT_DATE, date_of_birth))"
29,Completeness: account_numbers Format,"Checks for records where account_numbers is present but does not match expected format (e.g., comma-separated digits), ensuring data usability.","SELECT customer_id, account_numbers FROM tsb.customer_data_bank WHERE account_numbers IS NOT NULL AND account_numbers !~* '^([0-9]+,)*[0-9]+$'"
30,Validity: created_on Default,"Checks for records where created_on is not set to the default value (now), which may indicate manual overrides or ETL issues.","SELECT customer_id, created_on FROM tsb.customer_data_bank WHERE created_on IS NOT NULL AND created_on::date <> CURRENT_DATE"
