Sno,Monitor Name,Description,Custom_SQL
1,Primary Key Uniqueness: customer_id,"Ensures that each customer_id in tsb.customer_data_bank is unique, enforcing entity integrity for the primary key.","SELECT COUNT(*) FROM (SELECT customer_id, COUNT(*) FROM tsb.customer_data_bank GROUP BY customer_id HAVING COUNT(*) > 1) AS duplicates"
2,Primary Key Completeness: customer_id,"Checks for NULL values in the customer_id column, which should never occur as it is the primary key and must always be present.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE customer_id IS NULL
3,Completeness: full_name,"Identifies records where full_name is missing (NULL), which may indicate incomplete customer information.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE full_name IS NULL
4,Completeness: date_of_birth,"Identifies records where date_of_birth is missing (NULL), which may impact age calculations and customer profiling.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE date_of_birth IS NULL
5,Completeness: gender,"Identifies records where gender is missing (NULL), which may affect demographic analysis.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE gender IS NULL
6,Completeness: address,"Identifies records where address is missing (NULL), which may impact customer communication and verification.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE address IS NULL
7,Completeness: phone_number,"Identifies records where phone_number is missing (NULL), which may hinder customer contact.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE phone_number IS NULL
8,Completeness: email_address,"Identifies records where email_address is missing (NULL), which may affect digital communication with customers.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE email_address IS NULL
9,Completeness: national_id_or_passport_number,"Identifies records where national_id_or_passport_number is missing (NULL), which may impact customer identification and KYC processes.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE national_id_or_passport_number IS NULL
10,Completeness: occupation,"Identifies records where occupation is missing (NULL), which may affect customer segmentation.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE occupation IS NULL
11,Completeness: customer_type,"Identifies records where customer_type is missing (NULL), which may impact customer classification.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE customer_type IS NULL
12,Completeness: account_numbers,"Identifies records where account_numbers is missing (NULL), which may indicate incomplete linkage to accounts.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE account_numbers IS NULL
13,Completeness: age,"Identifies records where age is missing (NULL), which may affect demographic analysis and eligibility checks.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE age IS NULL
14,Completeness: created_by,"Identifies records where created_by is missing (NULL), which may hinder audit trails.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE created_by IS NULL
15,Completeness: created_on,"Identifies records where created_on is missing (NULL), which may impact auditability and data lineage.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE created_on IS NULL
16,Completeness: modified_by,"Identifies records where modified_by is missing (NULL), which may hinder tracking of changes.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE modified_by IS NULL
17,Completeness: modified_on,"Identifies records where modified_on is missing (NULL), which may impact auditability of updates.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE modified_on IS NULL
18,Completeness: status,"Identifies records where status is missing (NULL), which may affect customer lifecycle management.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE status IS NULL
19,Validity: age is non-negative,"Checks for records where age is negative, which is logically invalid for a customer.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE age IS NOT NULL AND age < 0
20,Validity: date_of_birth in the past,"Checks for records where date_of_birth is in the future, which is invalid for a customer.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE date_of_birth IS NOT NULL AND date_of_birth > CURRENT_DATE
21,Validity: email_address format,"Identifies records where email_address does not match a basic email pattern, which may indicate invalid emails.","SELECT COUNT(*) FROM tsb.customer_data_bank WHERE email_address IS NOT NULL AND email_address !~* '^[A-Za-z0-9._%+-]+@[A-Za-z0-9.-]+\.[A-Za-z]{2,}$'"
22,Validity: phone_number format,"Checks for phone_number values that do not contain only digits, spaces, plus, hyphens, or parentheses, which may indicate invalid phone numbers.",SELECT COUNT(*) FROM tsb.customer_data_bank WHERE phone_number IS NOT NULL AND phone_number !~* '^[0-9\-\+\(\) ]+$'
23,Uniqueness: national_id_or_passport_number,"Checks for duplicate national_id_or_passport_number values, which should be unique for each customer for identification purposes.","SELECT national_id_or_passport_number, COUNT(*) FROM tsb.customer_data_bank WHERE national_id_or_passport_number IS NOT NULL GROUP BY national_id_or_passport_number HAVING COUNT(*) > 1"
24,Uniqueness: email_address,"Checks for duplicate email_address values, which should be unique for each customer to avoid communication errors.","SELECT email_address, COUNT(*) FROM tsb.customer_data_bank WHERE email_address IS NOT NULL GROUP BY email_address HAVING COUNT(*) > 1"
